dataset,condition,root_path,animal,session,base_dir,data_dir,layout,n_hc_channels,hc_channel_ids,n_ms_tetrodes,ms_tetrode_ids,n_tt_units,hc_subregions,ms_subregions
awake_mouse,control,/Volumes/T7_Taka/Minnesota/MSHC/Data_VargaV/23798184/awake_mouse,20161865,110111,/Volumes/T7_Taka/Minnesota/MSHC/Data_VargaV/23798184/awake_mouse/20161865/110111,/Volumes/T7_Taka/Minnesota/MSHC/Data_VargaV/23798184/awake_mouse/20161865/110111,session_root,1,"31",4,"1,2,3,4",9,unknown,unknown
awake_mouse,control,/Volumes/T7_Taka/Minnesota/MSHC/Data_VargaV/23798184/awake_mouse,20161869,1314,/Volumes/T7_Taka/Minnesota/MSHC/Data_VargaV/23798184/awake_mouse/20161869/1314,/Volumes/T7_Taka/Minnesota/MSHC/Data_VargaV/23798184/awake_mouse/20161869/1314,session_root,1,"32",3,"1,2,3",12,unknown,unknown
awake_mouse,control,/Volumes/T7_Taka/Minnesota/MSHC/Data_VargaV/23798184/awake_mouse,20161869,45,/Volumes/T7_Taka/Minnesota/MSHC/Data_VargaV/23798184/awake_mouse/20161869/45,/Volumes/T7_Taka/Minnesota/MSHC/Data_VargaV/23798184/awake_mouse/20161869/45,session_root,1,"32",3,"1,2,3",16,unknown,unknown
awake_mouse,control,/Volumes/T7_Taka/Minnesota/MSHC/Data_VargaV/23798184/awake_mouse,20161988,101102,/Volumes/T7_Taka/Minnesota/MSHC/Data_VargaV/23798184/awake_mouse/20161988/101102,/Volumes/T7_Taka/Minnesota/MSHC/Data_VargaV/23798184/awake_mouse/20161988/101102,session_root,1,"12",4,"1,2,3,4",25,unknown,unknown
awake_mouse,control,/Volumes/T7_Taka/Minnesota/MSHC/Data_VargaV/23798184/awake_mouse,20161988,183184,/Volumes/T7_Taka/Minnesota/MSHC/Data_VargaV/23798184/awake_mouse/20161988/183184,/Volumes/T7_Taka/Minnesota/MSHC/Data_VargaV/23798184/awake_mouse/20161988/183184,session_root,1,"12",4,"1,2,3,4",12,unknown,unknown
awake_mouse,control,/Volumes/T7_Taka/Minnesota/MSHC/Data_VargaV/23798184/awake_mouse,20161988,191192,/Volumes/T7_Taka/Minnesota/MSHC/Data_VargaV/23798184/awake_mouse/20161988/191192,/Volumes/T7_Taka/Minnesota/MSHC/Data_VargaV/23798184/awake_mouse/20161988/191192,session_root,1,"12",4,"1,2,3,4",16,unknown,unknown
awake_mouse,control,/Volumes/T7_Taka/Minnesota/MSHC/Data_VargaV/23798184/awake_mouse,20161988,281282,/Volumes/T7_Taka/Minnesota/MSHC/Data_VargaV/23798184/awake_mouse/20161988/281282,/Volumes/T7_Taka/Minnesota/MSHC/Data_VargaV/23798184/awake_mouse/20161988/281282,session_root,1,"12",2,"1,4",4,unknown,unknown
awake_mouse,control,/Volumes/T7_Taka/Minnesota/MSHC/Data_VargaV/23798184/awake_mouse,20161988,7778,/Volumes/T7_Taka/Minnesota/MSHC/Data_VargaV/23798184/awake_mouse/20161988/7778,/Volumes/T7_Taka/Minnesota/MSHC/Data_VargaV/23798184/awake_mouse/20161988/7778,session_root,1,"12",4,"1,2,3,4",15,unknown,unknown
awake_mouse,control,/Volumes/T7_Taka/Minnesota/MSHC/Data_VargaV/23798184/awake_mouse,20161989,100101,/Volumes/T7_Taka/Minnesota/MSHC/Data_VargaV/23798184/awake_mouse/20161989/100101,/Volumes/T7_Taka/Minnesota/MSHC/Data_VargaV/23798184/awake_mouse/20161989/100101,session_root,1,"3",3,"1,2,3",4,unknown,unknown
awake_mouse,control,/Volumes/T7_Taka/Minnesota/MSHC/Data_VargaV/23798184/awake_mouse,20161989,107108,/Volumes/T7_Taka/Minnesota/MSHC/Data_VargaV/23798184/awake_mouse/20161989/107108,/Volumes/T7_Taka/Minnesota/MSHC/Data_VargaV/23798184/awake_mouse/20161989/107108,session_root,1,"10",2,"2,3",2,unknown,unknown
awake_mouse,control,/Volumes/T7_Taka/Minnesota/MSHC/Data_VargaV/23798184/awake_mouse,20161989,113114,/Volumes/T7_Taka/Minnesota/MSHC/Data_VargaV/23798184/awake_mouse/20161989/113114,/Volumes/T7_Taka/Minnesota/MSHC/Data_VargaV/23798184/awake_mouse/20161989/113114,session_root,1,"3",3,"1,2,3",6,unknown,unknown
awake_mouse,control,/Volumes/T7_Taka/Minnesota/MSHC/Data_VargaV/23798184/awake_mouse,20161989,119120,/Volumes/T7_Taka/Minnesota/MSHC/Data_VargaV/23798184/awake_mouse/20161989/119120,/Volumes/T7_Taka/Minnesota/MSHC/Data_VargaV/23798184/awake_mouse/20161989/119120,session_root,1,"3",2,"2,3",5,unknown,unknown
awake_mouse,control,/Volumes/T7_Taka/Minnesota/MSHC/Data_VargaV/23798184/awake_mouse,20161989,127128,/Volumes/T7_Taka/Minnesota/MSHC/Data_VargaV/23798184/awake_mouse/20161989/127128,/Volumes/T7_Taka/Minnesota/MSHC/Data_VargaV/23798184/awake_mouse/20161989/127128,session_root,1,"3",3,"1,2,3",7,unknown,unknown
awake_mouse,control,/Volumes/T7_Taka/Minnesota/MSHC/Data_VargaV/23798184/awake_mouse,20161989,133134,/Volumes/T7_Taka/Minnesota/MSHC/Data_VargaV/23798184/awake_mouse/20161989/133134,/Volumes/T7_Taka/Minnesota/MSHC/Data_VargaV/23798184/awake_mouse/20161989/133134,session_root,1,"3",3,"1,2,3",9,unknown,unknown
awake_mouse,control,/Volumes/T7_Taka/Minnesota/MSHC/Data_VargaV/23798184/awake_mouse,20161989,139140,/Volumes/T7_Taka/Minnesota/MSHC/Data_VargaV/23798184/awake_mouse/20161989/139140,/Volumes/T7_Taka/Minnesota/MSHC/Data_VargaV/23798184/awake_mouse/20161989/139140,session_root,1,"3",3,"1,2,3",14,unknown,unknown
awake_mouse,control,/Volumes/T7_Taka/Minnesota/MSHC/Data_VargaV/23798184/awake_mouse,20161989,145146,/Volumes/T7_Taka/Minnesota/MSHC/Data_VargaV/23798184/awake_mouse/20161989/145146,/Volumes/T7_Taka/Minnesota/MSHC/Data_VargaV/23798184/awake_mouse/20161989/145146,session_root,1,"3",3,"1,2,3",9,unknown,unknown
awake_mouse,control,/Volumes/T7_Taka/Minnesota/MSHC/Data_VargaV/23798184/awake_mouse,20161989,151152,/Volumes/T7_Taka/Minnesota/MSHC/Data_VargaV/23798184/awake_mouse/20161989/151152,/Volumes/T7_Taka/Minnesota/MSHC/Data_VargaV/23798184/awake_mouse/20161989/151152,session_root,1,"3",3,"1,2,3",9,unknown,unknown
awake_mouse,control,/Volumes/T7_Taka/Minnesota/MSHC/Data_VargaV/23798184/awake_mouse,20161989,157158,/Volumes/T7_Taka/Minnesota/MSHC/Data_VargaV/23798184/awake_mouse/20161989/157158,/Volumes/T7_Taka/Minnesota/MSHC/Data_VargaV/23798184/awake_mouse/20161989/157158,session_root,1,"3",3,"1,2,3",11,unknown,unknown
awake_mouse,control,/Volumes/T7_Taka/Minnesota/MSHC/Data_VargaV/23798184/awake_mouse,20161989,163164,/Volumes/T7_Taka/Minnesota/MSHC/Data_VargaV/23798184/awake_mouse/20161989/163164,/Volumes/T7_Taka/Minnesota/MSHC/Data_VargaV/23798184/awake_mouse/20161989/163164,session_root,1,"3",3,"1,2,3",17,unknown,unknown
awake_mouse,control,/Volumes/T7_Taka/Minnesota/MSHC/Data_VargaV/23798184/awake_mouse,20161989,169170,/Volumes/T7_Taka/Minnesota/MSHC/Data_VargaV/23798184/awake_mouse/20161989/169170,/Volumes/T7_Taka/Minnesota/MSHC/Data_VargaV/23798184/awake_mouse/20161989/169170,session_root,1,"3",3,"1,2,3",10,unknown,unknown
awake_mouse,control,/Volumes/T7_Taka/Minnesota/MSHC/Data_VargaV/23798184/awake_mouse,20161989,175176,/Volumes/T7_Taka/Minnesota/MSHC/Data_VargaV/23798184/awake_mouse/20161989/175176,/Volumes/T7_Taka/Minnesota/MSHC/Data_VargaV/23798184/awake_mouse/20161989/175176,session_root,1,"10",3,"1,2,3",8,unknown,unknown
awake_mouse,control,/Volumes/T7_Taka/Minnesota/MSHC/Data_VargaV/23798184/awake_mouse,20161989,177178,/Volumes/T7_Taka/Minnesota/MSHC/Data_VargaV/23798184/awake_mouse/20161989/177178,/Volumes/T7_Taka/Minnesota/MSHC/Data_VargaV/23798184/awake_mouse/20161989/177178,session_root,1,"10",2,"2,3",7,unknown,unknown
